college_id,UG_fee,PG_fee
301,"69,500",--
302,"64,240",--
303,"2,44,000","1,16,000"
304,"89,090",--
305,"2,41,120","1,37,120"
306,"74,288","84,288"
307,"92,000",--
308,"2,58,500","2,00,000"
309,"1,50,000","95,000"
310,"1,54,000","1,97,000"
311,"1,97,200","2,64,000"
312,"7,640","8,340"
313,"1,97,200","2,65,000"
314,"2,53,000","1,54,000"
315,"2,53,000","1,54,000"
316,"65,000","77,000"
317,--,--
318,"1,98,000","3,20,000"
319,"1,08,000","43,000"
320,"96,000","1,26,000"
321,"1,14,000","1,12,000"
322,"1,79,720","1,06,720"
323,"94,000","44,000"
324,"1,21,250",--
325,"1,21,000",--
326,"2,860","5,730"
327,"76,500","50,000"
328,"29,100","89,500"
329,"1,47,000",--
330,"77,800","1,03,800"
331,"1,11,500","98,500"
332,"1,500","7,500"
333,"1,52,000","1,40,000"
334,"3,24,800","2,00,600"
335,"2,19,800","39,970"
336,"96,300","27,500"
337,"96,750","93,500"
338,"88,750","83,150"
339,"6,76,000","2,28,000"
340,"1,60,000","80,000"
341,"81,000","58,000"
342,"6,66,000",--
343,"94,000","95,000"
344,"1,35,000","76,500"
345,"44,696","24,500"
346,"92,680","92,100"
347,"82,197","16,160"
348,"1,00,000","40,000"
349,"1,36,000","87,500"
350,"6,90,000","12,70,000"
351,"94,000","95,000"
352,"82,500","1,03,300"
353,"64,240",--
354,"3,18,000","1,25,000"
355,"1,70,600","85,600"
356,"4,03,024","1,43,623"
357,"98,689","90,574"
358,"1,04,000","68,000"
359,"90,000","90,000"
360,"82,070","2,31,500"
361,"2,400","24,000"
362,"70,000","81,500"
363,"1,49,100","94,100"
364,"1,68,400",--
365,"1,16,200","1,31,100"
366,"49,000","81,200"
367,"1,29,800","1,22,600"
368,"1,16,350","1,04,600"
369,"2,07,000","1,58,000"
370,"89,200","2,01,000"
371,"1,72,800","1,34,850"
372,"1,49,500","1,49,500"
373,"1,34,068","1,08,100"
374,"1,61,200","1,50,000"
375,"1,29,800","1,22,600"
376,"16,155","17,855"
377,"17,120","2,02,020"
378,"1,44,000","98,000"
379,--,--
380,"3,93,000","54,000"
381,"71,200","26,000"
382,"14,877","51,916"
383,"4,83,800","2,73,000"
384,"1,03,600","1,12,500"
385,"1,08,980","1,19,000"
386,"98,500",--
387,"82,000","80,000"
388,"2,25,500","1,60,500"
389,"2,28,676","2,33,884"
390,"2,50,000","1,50,000"
391,"1,19,000","97,000"
392,"91,280","91,140"
393,--,--
394,"1,00,000","40,000"
395,"2,01,100","1,76,150"
396,"34,500","34,500"
397,"6,00,000","2,70,000"
398,"3,80,000",--
399,"3,08,000","2,17,000"
400,"2,52,000",--
401,"2,92,000","1,60,000"
402,"1,21,500","80,000"
403,"2,35,000","1,22,000"
404,"81,000","41,500"
405,"86,500",--
406,"33,400","33,400"
407,--,--
408,"1,08,000","91,300"
409,"2,20,000","1,20,000"
410,"1,08,300","72,000"
411,"1,40,000",--
412,"32,680","76,210"
413,"58,000",--
414,"72,000","79,000"
415,"2,21,700","23,250"
416,"2,36,400","1,21,000"
417,"65,344","46,244"
418,"16,04,500","5,57,250"
419,"34,750",--
420,"2,00,000","1,20,000"
421,"3,23,400","92,900"
422,"2,75,600","79,600"
423,"1,56,000","1,40,000"
424,"71,650",--
425,"90,000","80,000"
426,"2,12,250","84,000"
427,"1,12,500","91,500"
428,"73,500",--
429,"1,36,150","1,19,150"
430,"1,01,400","46,400"
431,"75,500",--
432,"3,00,000","3,00,000"
433,"1,84,500",--
434,"71,150","82,250"
435,"69,015","80,015"
436,"35,000",--
437,"1,19,700","92,000"
438,"2,75,600","1,30,600"
439,"11,90,000","10,00,000"
440,"11,200","11,25,000"
441,"97,250","49,250"
442,"16,01,000","16,01,000"
443,"15,26,000","20,500"
444,"73,910","14,000"
445,"20,500",--
446,"57,000","3,51,500"
447,"7,10,351",--
448,"1,10,000","3,60,000"
449,"10,60,000","30,000"
450,"8,00,000",--
451,"2,53,000","92,500"
452,"45,000",--
453,"90,000",--
454,"50,000",--
455,"93,000","70,000"
456,"40,000","1,00,000"
457,"75,000",--
458,"35,000",--
459,"3,75,000",--
460,"2,00,000",--
461,"40,000","40,000"
462,"1,70,000",--
463,"1,60,000",--
464,"1,46,000",--
465,"2,44,000","41,000"
466,"1,20,000","15,000"
467,"4,95,000",--
468,"35,000",--
469,"6,91,100","25,800"
470,"17,50,000","1,50,000"
471,"3,05,000",--
472,"9,80,000",--
473,"6,02,000","3,02,000"
474,"9,40,000","2,20,000"
475,"1,04,000","7,03,000"
476,"5,50,000","3,40,000"
477,"2,25,000","1,00,000"
478,"8,17,290","3,32,455"
479,"6,42,000",--
480,"1,38,000","16,000"
481,"7,90,000",--
482,"4,80,000",--
483,"3,50,000",--
484,"4,95,000",--
485,"12,20,000","20,000"
486,"6,60,000",--
487,"7,95,000","2,00,000"
488,"40,000","22,000"
489,"10,20,000",--
490,"6,85,000",--
491,"4,28,000","10,98,000"
492,"5,30,000",--
493,"4,10,000",--
494,"1,20,000","4,20,000"
495,"6,20,000","1,53,000"
496,"1,70,000",--
497,"4,00,000",--
498,"1,66,340","15,00,000"
499,"19,25,000","7,50,000"
500,"9,00,000","23,850"
501,"85,000","15,000"
502,"2,70,000","4,00,000"
503,"1,27,000","4,80,000"
504,"4,00,000","3,44,000"
505,"86,500","12,00,000"
506,"17,395",--
507,"5,35,000","1,50,000"
508,"5,25,000","1,50,000"
509,"5,88,000",--
510,"7,95,000",--
511,"82,000","91,000"
512,"3,40,000","3,40,000"
513,"3,00,000","1,15,800"
514,"7,50,000",--
515,"1,27,943",--
516,"25,500","5,10,000"
517,"3,96,000","1,17,750"
518,"90,000","1,15,000"
519,"4,00,000",--
520,"75,000","1,35,000"
521,"1,30,000",--
522,"56,200","1,31,200"
523,"92,600","1,57,900"
524,"2,60,000","35,000"
525,"1,34,982",--
526,"1,00,000","1,59,000"
527,"1,35,000","2,26,000"
528,"64,800","1,17,400"
529,"4,80,000","63,900"
530,"23,58,000","3,19,668"
531,"5,05,000","1,30,000"
532,"8,69,500","2,47,000"
533,"5,10,000","8,85,000"
534,"40,600","50,000"
535,"15,696","3,685"
536,"96,000","48,000"
537,"15,98,000","1,20,000"
538,"2,70,000","4,00,000"
539,"1,27,000","4,80,000"
540,"4,00,000","3,44,000"
541,"86,500","12,00,000"
542,"5,35,000","1,50,000"
543,"70,000",--
544,"4,30,000","88,000"
545,"5,70,000","6,72,500"
546,"5,88,000",--
547,"9,65,000",--
548,"1,15,000","1,15,000"
549,"12,40,000","12,40,000"
550,"7,95,000",--
551,"4,50,000","5,50,000"
552,"8,90,000",--
553,"4,50,000",--
554,"3,40,000","3,40,000"
555,"2,98,500","1,65,000"
556,"3,00,000","1,15,800"
557,"7,95,000",--
558,"93,000","3,58,900"
559,"7,18,000",--
560,"1,85,000","2,85,000"
561,"2,10,000","3,96,000"
562,"2,85,000","1,85,000"
563,"13,86,000",--
564,"14,33,250","16,50,000"
565,"2,50,000","3,60,000"
566,"2,75,000","43,000"
567,"23,200",--
568,"2,60,000","2,95,000"
569,"1,08,850","1,88,600"
570,"1,60,000",--
571,--,--
572,"74,000",--
573,"45,000",--
574,"2,75,000","43,000"
575,"34,000",--
576,"50,000",--
577,"1,30,500","1,60,500"
578,"41,100",--
579,"31,500",--
580,"30,000",--
581,"28,000","79,000"
582,"1,10,000",--
583,"27,000",--
584,"34,500",--
585,"35,000",--
586,"10,000",--
587,"23,00,000","27,50,000"
588,"7,55,000",--
589,"13,50,000","6,00,000"
590,"12,00,000","3,20,000"
591,"3,80,000","1,66,000"
592,"5,50,000",--
593,"2,86,000","11,20,000"
594,"3,00,000",--
595,"4,81,000",--
596,"2,28,000","9,00,000"
597,"8,20,000","2,60,000"
598,"80,000","25,000"
599,"4,01,000","1,78,000"
600,"79,570",--
601,"90,000","3,00,000"
602,"10,75,000",--
603,"75,000",--
604,"9,00,000","1,00,000"
605,"2,60,000",--
606,"1,08,000",--
607,"1,65,000",--
608,"63,750",--
609,"5,00,000",--
610,"1,11,000",--
611,"1,65,000","3,25,000"
612,"25,300",--
613,"50,000","70,000"
614,"2,10,000",--
615,"2,77,000","5,19,000"
616,"88,700","2,67,700"
617,"10,20,000","47,00,000"
618,"2,50,000","7,00,000"
619,"7,10,000","2,60,000"
620,"2,52,000","8,27,000"
621,"6,03,000","5,00,000"
622,"3,05,000","6,95,000"
623,"8,25,000","7,000"
624,"4,55,000","3,80,000"
625,"1,10,125",--
626,"6,80,000",--
627,"2,70,000",--
628,"6,55,000",--
629,"5,76,000",--
630,"4,50,000","7,50,000"
631,"50,000",--
632,"40,000",--
633,"54,000",--
634,"43,000",--
635,"2,70,000",--
636,"27,000",--
637,"6,60,000","6,22,038"
638,"2,85,000","1,85,000"
639,"6,80,000",--
640,"10,500",--
641,"10,59,100",--
642,"3,70,000","3,70,000"
643,"3,20,000","2,70,000"
644,"52,500",--
645,"63,000","1,13,300"
646,"92,000",--
647,"9,80,000","50,000"
648,"6,24,000","6,24,000"
649,"52,000","1,46,500"
650,"3,95,000",--
651,"36,000","80,000"
652,"1,15,000",--
653,"30,000","70,000"
654,"42,120","73,620"
655,"12,000","58,000"
656,"43,100",--
657,"70,000","70,000"
658,"80,000","64,000"
659,"1,35,000","1,75,000"
660,"70,000","43,000"
661,"90,000","18,000"
662,"24,000","30,000"
663,"50,000","90,000"
664,"50,000","2,41,775"
665,"54,000","60,000"
666,"1,50,000","70,000"
667,"1,35,000","1,75,000"
668,"2,52,000","7,27,000"
669,"27,600","42,600"
670,"62,450","1,03,000"
671,"63,600","59,211"
672,"85,000","45,000"
673,"22,50,000","45,000"
674,"7,00,000",--
675,"3,75,000",--
676,"27,405","82,405"
677,"4,00,000",--
678,"2,27,000",--
679,"40,000",--
680,"3,60,000",--
681,"7,00,000",--
682,"1,70,000",--
683,"2,85,000",--
684,"1,28,000",--
685,--,--
686,--,--
687,"12,30,500","3,25,000"
688,"1,90,376",--
689,"96,000",--
690,"90,000","3,85,000"
691,"18,000",--
692,"30,000","30,000"
693,"3,20,000","2,50,000"
694,"6,60,000",--
695,"96,600",--
696,"1,61,000","2,99,000"
697,"1,63,000",--
698,"38,600","45,000"
699,"89,000",--
700,"14,900","95,900"
701,"18,50,000","13,00,000"
702,"4,40,000",--
703,"4,23,975","86,825"
704,"3,70,000",--
705,"32,000",--
706,"1,71,960",--
707,"75,000","1,55,000"
708,"68,700","2,50,000"
709,"2,00,000",--
710,"1,20,000","1,25,000"
711,"5,95,000",--
712,"3,34,000","22,40,000"
713,"5,440","23,300"
714,"4,55,000","1,60,000"
715,"42,000","22,000"
716,"1,80,500","1,32,000"
717,"4,07,000","1,53,000"
718,"24,200","62,200"
719,"93,800","36,200"
720,"1,63,500","1,61,500"
721,"80,000","2,00,000"
722,"4,77,300","99,300"
723,"60,000","60,000"
724,"40,000","75,000"
725,"42,500","50,000"
726,"23,58,000","3,19,668"
727,"5,05,000","1,30,000"
728,"25,660",--
729,"1,05,000","1,95,000"
730,"1,15,000","1,15,000"
731,"4,50,000","5,50,000"
732,"2,98,500","1,65,000"
733,"93,000","3,58,900"
734,"2,98,500","1,61,000"
735,"2,97,000","5,75,000"
736,"40,540","76,900"
737,"30,000",--
738,"1,72,500","2,86,000"
739,"40,000","40,000"
740,"2,25,000","3,00,000"
741,"81,700","1,35,000"
742,"5,25,000","2,72,000"
743,"4,32,000","2,48,000"
744,"5,50,000","1,20,000"
745,"7,50,000","3,30,000"
746,"4,00,500",--
747,"1,00,000","65,000"
748,"14,01,000","14,01,000"
749,"90,000","95,000"
750,"15,00,000",--
751,"1,64,500","1,30,000"
752,"1,45,000","3,98,000"
753,"2,40,000","40,000"
754,"28,00,000","10,00,000"
755,"5,02,000","58,500"
756,"8,60,000","5,83,400"
757,"62,000","57,000"
758,"23,100","21,660"
759,"97,000",--
760,"68,140","12,500"
761,"5,02,000","97,200"
762,"2,49,000","4,19,000"
763,"3,78,000",--
764,"95,000","60,000"
765,"85,000","65,500"
766,"67,000","1,20,000"
767,"21,00,000","70,000"
768,"1,14,000","1,10,000"
769,"1,22,000","50,000"
770,"1,80,000","1,44,000"
771,"1,500",--
772,"14,900","69,900"
773,"81,000","67,000"
774,"86,000",--
775,"2,90,000","2,70,000"
776,"89,500","61,000"
777,"70,200","80,000"
778,"92,650","21,300"
779,"40,000","40,000"
780,"15,000","10,000"
781,"22,100","58,500"
782,"78,500","1,98,500"
783,"25,660",--
784,"1,05,000","1,95,000"
785,"2,12,000","2,83,000"
786,"55,550","97,350"
787,"49,900","92,000"
788,"1,08,700",--
789,"5,66,000","3,50,000"
790,"6,00,000","9,50,000"
791,"1,50,000","57,000"
792,"62,580","24,580"
793,"50,000","1,10,000"
794,"87,500","1,45,000"
795,"54,000","1,67,400"
796,"10,20,000","47,60,000"
797,"90,000","1,37,500"
798,"82,500","44,000"
799,"1,04,000","42,000"
800,"77,000",--
801,"4,15,860","4,80,000"
802,"46,850","80,750"
803,"44,950","90,549"
804,"51,250","96,650"
805,--,--
806,"1,10,000","35,000"
807,"46,850","80,750"
808,"46,250","90,000"
809,"62,850",--
810,"35,000","85,000"
811,"27,00,000","2,68,000"
812,"6,00,000","10,000"
813,"6,27,950","1,02,000"
814,"2,55,000","35,000"
815,"3,50,000",--
816,"2,70,000","6,50,000"
817,"4,00,500",--
818,"3,20,000","1,15,000"
819,"1,06,000","5,51,000"
820,"55,000","2,60,000"
821,"80,000","1,90,000"
822,--,--
823,"82,000","2,51,400"
824,"3,37,200","1,00,000"
825,"1,19,000","3,51,000"
826,"5,55,000","1,32,000"
827,"4,41,000",--
828,"3,89,000",--
829,"98,000","1,06,000"
830,--,--
831,"4,00,000","75,000"
832,"7,95,000","14,000"
833,"1,10,000","60,000"
834,"4,26,144",--
835,"3,66,400",--
836,"2,00,000",--
837,"1,26,850",--
838,"1,14,000","82,000"
839,"1,25,000",--
840,"2,42,000",--
841,"2,80,000","4,60,000"
842,"8,60,000","1,67,000"
843,"2,55,000","6,00,000"
844,"2,58,000",--
845,"1,46,000",--
846,"75,000",--
847,"1,60,000",--
848,"10,80,000","15,50,000"
849,"3,59,000","2,25,000"
850,"1,00,000","50,000"
851,"7,59,000",--
852,"3,51,890","1,21,890"
853,"24,700",--
854,"13,03,000","9,00,000"
855,"1,60,000","1,20,000"
856,"3,00,000","1,00,000"
857,"48,450","1,36,950"
858,"47,500","1,12,000"
859,"1,08,850","1,88,600"
860,"1,18,000","2,30,000"
861,"1,55,000","1,15,000"
862,"1,10,000",--
863,"1,14,000",--
864,"51,000",--
865,"80,000",--
866,"3,00,000",--
867,"65,000","95,000"
868,"1,03,500",--
869,"4,09,680","14,680"
870,"7,82,500","9,50,000"
871,"8,41,500","13,34,000"
872,"2,72,726","1,79,200"
873,"2,53,000","1,81,500"
874,"1,22,000",--
875,"2,68,500",--
876,"82,000","1,48,000"
877,"81,750","47,750"
878,"1,79,200","1,55,000"
879,"2,71,000","1,36,300"
880,"2,67,000","1,42,800"
881,"2,61,000","2,40,000"
882,"1,05,000",--
883,"1,20,000","70,000"
884,"1,91,000","1,18,850"
885,"61,300","94,400"
886,"72,500","36,250"
887,"1,00,650","54,000"
888,"2,00,000",--
889,"5,39,328",--
890,"50,000","1,00,000"
891,"67,000","1,47,000"
892,"79,200",--
893,--,--
894,"50,000",--
895,"1,43,000",--
896,"1,49,400","1,86,000"
897,"72,600","92,600"
898,"16,790","85,250"
899,"24,500",--
900,"1,270",930
901,"22,895","15,000"
902,"7,000","10,000"
903,"1,761","2,258"
904,"10,056",--
905,--,--
906,"40,914","65,264"
907,"1,375",935
908,"40,170","26,555"
909,"8,930",--
910,622,"1,532"
911,"33,600","91,140"
912,"20,525","26,550"
913,"40,000","38,000"
914,--,--
915,"42,000",--
916,"16,000",--
917,"26,000","34,000"
918,"7,300","13,270"
919,"52,000","52,000"
920,879,"1,464"
921,"51,200","75,000"
922,"1,40,000",--
923,"9,500","11,450"
924,"2,646","2,136"
925,"6,465","5,356"
926,"5,000","9,850"
927,"1,81,000","43,300"
928,"11,135","50,780"
929,"7,187","15,674"
930,"7,005",--
931,"55,000","50,000"
932,"37,295","7,450"
933,"28,800","10,270"
934,"6,130","13,602"
935,"10,735","50,920"
936,"70,000","1,05,000"
937,"47,340",--
938,"38,000","2,28,000"
939,"55,750","64,500"
940,"21,000","5,850"
941,"1,25,000",--
942,"1,20,000","1,25,000"
943,"40,000",--
944,--,--
945,--,--
946,"3,04,000",--
947,500,--
948,--,--
949,--,--
950,"1,52,000","1,77,000"
951,--,--
952,"59,800","34,800"
953,--,--
954,"67,230","67,230"
955,"16,700","16,700"
956,"25,197",--
957,--,--
958,"20,050","2,15,600"
959,--,--
960,"4,400","6,720"
961,"73,000",--
962,"36,815","37,315"
963,"15,900",--
964,"93,720","8,980"
965,--,--
966,--,--
967,"1,20,000","80,000"
968,"82,000","63,000"
969,"48,000","1,08,000"
970,--,--
971,"4,655","4,715"
972,--,--
973,"2,37,000",--
974,"50,000",--
975,"71,700",--
976,"39,000","71,000"
977,"15,840",--
978,"9,260","40,000"
979,--,--
980,"40,400","99,000"
981,--,--
982,"30,000","45,000"
983,"22,900",--
984,"25,000","30,000"
985,"61,000","72,000"
986,--,--
987,"9,550","48,000"
988,"42,835",--
989,"20,460","19,710"
990,"20,670",--
991,"19,800","16,170"
992,"24,515","16,554"
993,"14,595","9,339"
994,"14,610","14,404"
995,"14,555","13,191"
996,"13,345",--
997,"19,345",--
998,"15,860",--
999,"29,645",--
1000,"14,045","13,331"
1001,"16,610",--
1002,"26,965","18,954"
1003,"17,840",--
1004,"8,000","7,800"
1005,"7,965","7,851"
1006,"19,540",--
1007,"8,390","7,616"
1008,"19,750",--
1009,"10,500",--
1010,"45,600","13,000"
1011,"16,000",--
1012,"22,970",--
1013,"29,025",--
1014,"9,336",--
1015,"45,200",--
1016,"13,297",--
1017,"22,500",--
1018,--,--
1019,"5,346",--
1020,"27,900","29,830"
1021,"27,700","29,200"
1022,"1,45,000","85,000"
1023,--,--
1024,--,--
1025,"12,760","11,805"
1026,"70,000","70,000"
1027,--,--
1028,"58,750",--
1029,--,--
1030,--,--
1031,"13,800","8,395"
1032,"27,405","45,675"
1033,"22,500","42,600"
1034,--,--
1035,"7,70,500",--
1036,--,--
1037,"8,555",--
1038,"17,450","17,450"
1039,"90,000","60,000"
1040,"26,400",--
1041,"1,25,000","55,000"
1042,--,--
1043,"67,500",--
1044,--,--
1045,"2,75,000","1,53,000"
1046,"16,000","1,60,000"
1047,"42,000",--
1048,"35,000","90,000"
1049,"1,28,250","32,960"
1050,"50,000","80,000"
1051,"94,705","27,150"
1052,"50,000","25,000"
1053,"30,000","40,000"
1054,"1,40,000","1,20,000"
1055,--,--
1056,"2,19,625",--
1057,"5,27,000","1,10,000"
1058,"1,70,000",--
1059,"30,000",--
1060,"1,75,000","94,000"
1061,"45,355","88,405"
1062,"2,30,000","2,60,000"
1063,"66,500",--
1064,"44,590","39,340"
1065,"17,970","34,720"
1066,"1,92,814","1,61,105"
1067,"2,50,000",--
1068,"1,02,500","56,000"
1069,--,--
1070,--,--
1071,--,--
1072,--,--
1073,"1,50,000",--
1074,--,--
1075,"3,20,000","1,07,000"
1076,--,--
1077,"15,600",--
1078,"36,240","40,400"
1079,"17,155","27,055"
1080,--,--
1081,"10,000","35,580"
1082,"31,395","25,095"
1083,"10,710","10,710"
1084,"95,500",--
1085,"20,000","47,000"
1086,"1,30,000","90,000"
1087,"1,50,000","1,50,000"
1088,"20,000","20,000"
1089,"1,60,000","35,000"
1090,"92,000",--
1091,"1,16,500",--
1092,"22,605","12,640"
1093,"7,640","35,560"
1094,"37,500",--
1095,"2,260",--
1096,"3,010","11,840"
1097,--,--
1098,--,--
